country,city
United Kingdom,London
United Kingdom,Manchester
United Kingdom,Birmingham
United Kingdom,Liverpool
United Kingdom,Leeds
United Kingdom,Bristol
United Kingdom,Newcastle
United Kingdom,Sheffield
United Kingdom,Glasgow
United Kingdom,Edinburgh
Netherlands,Amsterdam
Netherlands,Rotterdam
Netherlands,The Hague
Netherlands,Utrecht
Netherlands,Eindhoven
Netherlands,Tilburg
Netherlands,Groningen
Netherlands,Breda
Netherlands,Nijmegen
Netherlands,Arnhem
Belgium,Brussels
Belgium,Antwerp
Belgium,Ghent
Belgium,Bruges
Belgium,Leuven
Belgium,Liege
Belgium,Namur
Belgium,Mons
Belgium,Kortrijk
Belgium,Mechelen
Switzerland,Zurich
Switzerland,Geneva
Switzerland,Basel
Switzerland,Bern
Switzerland,Lausanne
Switzerland,Lucerne
Switzerland,St. Gallen
Switzerland,Lugano
Switzerland,Biel
Switzerland,Thun
Austria,Vienna
Austria,Graz
Austria,Linz
Austria,Salzburg
Austria,Innsbruck
Austria,Klagenfurt
Austria,Villach
Austria,Wels
Austria,St. Pölten
Austria,Dornbirn
Greece,Athens
Greece,Thessaloniki
Greece,Patras
Greece,Heraklion
Greece,Larissa
Greece,Volos
Greece,Rhodes
Greece,Ioannina
Greece,Chania
Greece,Kavala
Turkey,Istanbul
Turkey,Ankara
Turkey,Izmir
Turkey,Antalya
Turkey,Bursa
Turkey,Konya
Turkey,Gaziantep
Turkey,Adana
Turkey,Mersin
Turkey,Eskişehir
Morocco,Casablanca
Morocco,Rabat
Morocco,Marrakech
Morocco,Fes
Morocco,Tangier
Morocco,Agadir
Morocco,Meknes
Morocco,Oujda
Morocco,Tetouan
Morocco,Essaouira
Tunisia,Tunis
Tunisia,Sfax
Tunisia,Sousse
Tunisia,Kairouan
Tunisia,Bizerte
Tunisia,Gabes
Tunisia,Nabeul
Tunisia,Tozeur
Tunisia,Hammamet
Tunisia,Douz
Egypt,Cairo
Egypt,Alexandria
Egypt,Giza
Egypt,Luxor
Egypt,Aswan
Egypt,Hurghada
Egypt,Sharm El Sheikh
Egypt,Port Said
Egypt,Mansoura
Egypt,Tanta
United States,New York
United States,Los Angeles
United States,Chicago
United States,Houston
United States,Phoenix
United States,San Diego
United States,Dallas
United States,San Francisco
United States,Boston
United States,Miami
Canada,Toronto
Canada,Vancouver
Canada,Montreal
Canada,Calgary
Canada,Ottawa
Canada,Edmonton
Canada,Winnipeg
Canada,Quebec City
Canada,Halifax
Canada,Victoria
Mexico,Mexico City
Mexico,Guadalajara
Mexico,Monterrey
Mexico,Puebla
Mexico,Cancun
Mexico,Tijuana
Mexico,Leon
Mexico,Merida
Mexico,Toluca
Mexico,Acapulco
Brazil,São Paulo
Brazil,Rio de Janeiro
Brazil,Brasilia
Brazil,Salvador
Brazil,Fortaleza
Brazil,Recife
Brazil,Curitiba
Brazil,Manaus
Brazil,Belem
Brazil,Porto Alegre
Argentina,Buenos Aires
Argentina,Cordoba
Argentina,Rosario
Argentina,Mendoza
Argentina,La Plata
Argentina,Mar del Plata
Argentina,Salta
Argentina,San Miguel de Tucuman
Argentina,San Juan
Argentina,Neuquen
